COREF,start_token,end_token,prop,cat,text
105,4,5,PROP,PER,BRIAN KATCHER
257,30,31,NOM,PER,the author
258,42,43,NOM,PER,actual persons
105,62,63,PROP,PER,Brian Katcher
106,70,78,PROP,PER,Jolanda Cats & Hans Withoos / zefa / Corbis
1,85,87,PROP,GPE,the United States
107,89,89,PROP,PER,Ember
259,91,98,NOM,ORG,an imprint of Random House Children ’s Books
2,94,98,PROP,FAC,Random House Children ’s Books
260,100,104,NOM,ORG,a division of Random House
3,103,104,PROP,ORG,Random House
4,108,109,PROP,GPE,New York
1,116,118,PROP,GPE,the United States
5,120,121,PROP,FAC,Delacorte Press
3,126,127,PROP,ORG,Random House
2,126,130,PROP,FAC,Random House Children ’s Books
4,132,133,PROP,GPE,New York
107,138,138,PROP,PER,Ember
3,145,146,PROP,ORG,Random House
261,150,150,PRON,PER,us
262,158,158,NOM,PER,librarians
261,168,168,PRON,PER,us
6,171,174,PROP,ORG,The Library of Congress
105,186,186,PROP,PER,Katcher
105,188,188,PROP,PER,Brian
105,193,194,PROP,PER,Brian Katcher
263,206,206,PRON,PER,his
264,206,207,NOM,PER,his mother
108,226,226,PROP,PER,Logan
265,232,235,NOM,PER,a zany new student
263,238,238,PRON,PER,his
266,238,244,NOM,FAC,his small - town Missouri high school
7,242,242,PROP,GPE,Missouri
267,305,306,NOM,FAC,High schools
8,312,312,PROP,GPE,Schools
268,330,333,NOM,PER,Transgender people — Fiction
269,337,340,NOM,PER,Single - parent families
7,346,346,PROP,GPE,Missouri
270,382,385,NOM,GPE,the United States of
9,386,386,PROP,GPE,America
271,410,410,NOM,PER,Everyone
271,415,415,PRON,PER,they
271,417,417,PRON,PER,they
271,425,425,PRON,PER,they
271,427,427,PRON,PER,they
0,436,436,PRON,PER,I
272,440,440,NOM,PER,anyone
0,442,442,PRON,PER,I
10,446,446,PROP,GPE,Russia
0,461,461,PRON,PER,I
273,466,466,PRON,PER,her
0,468,468,PRON,PER,I
0,475,475,PRON,PER,I
0,478,478,PRON,PER,I
0,483,483,PRON,PER,my
274,486,486,PRON,PER,We
274,492,492,PRON,PER,we
274,505,505,PRON,PER,we
274,509,509,PRON,PER,we
274,512,512,PRON,PER,ourselves
124,514,515,PROP,FAC,Sage Hendricks
0,517,517,PRON,PER,my
0,523,523,PRON,PER,I
0,528,528,PRON,PER,I
275,534,536,NOM,PER,the track team
0,550,550,PRON,PER,I
