start_token,end_token,supersense_category,text
2,3,noun.person,Bill Konigsberg
6,7,noun.location,Honestly Ben
15,17,noun.location,Pocket The Bridge
19,20,noun.location,KONIGSBERG THE
25,26,noun.group,SCHOLASTIC INC
30,30,verb.possession,purchased
32,32,noun.communication,book
35,35,noun.artifact,cover
39,39,verb.stative,be
43,43,noun.communication,book
44,44,verb.stative,is
46,46,noun.possession,property
50,50,verb.communication,reported
59,59,noun.person,publisher
64,64,noun.person,author
67,67,noun.person,publisher
69,69,verb.possession,received
71,71,noun.possession,payment
76,76,noun.communication,book
79,79,noun.communication,Copyright
83,84,noun.person,Bill Konigsberg
86,86,noun.communication,book
89,89,verb.creation,published
91,91,noun.communication,hardcover
93,96,noun.group,Arthur A. Levine Books
99,99,noun.cognition,imprint
101,102,noun.group,Scholastic Inc.
108,108,noun.attribute,rights
109,109,verb.possession,reserved
111,111,verb.creation,Published
113,114,noun.group,Scholastic Inc.
123,123,noun.communication,logos
124,124,verb.stative,are
128,128,noun.communication,trademarks
130,131,noun.group,Scholastic Inc.
133,133,noun.group,publisher
136,136,verb.possession,have
138,138,noun.attribute,control
143,143,verb.cognition,assume
145,145,noun.act,responsibility
147,147,noun.person,author
151,151,noun.group,party
152,152,noun.artifact,websites
155,155,noun.communication,content
158,158,noun.relation,part
161,161,noun.communication,publication
164,164,verb.contact,reproduced
166,166,verb.contact,stored
169,170,noun.artifact,retrieval system
173,173,verb.communication,transmitted
176,176,noun.communication,form
186,186,verb.contact,photocopying
188,188,noun.act,recording
195,195,noun.communication,permission
198,198,noun.person,publisher
201,201,noun.communication,information
203,203,noun.communication,permission
205,205,verb.communication,write
207,208,noun.group,Scholastic Inc.
216,216,noun.location,Broadway
218,219,noun.location,New York
221,221,noun.location,NY
225,225,noun.communication,book
226,226,verb.stative,is
228,228,noun.artifact,work
230,230,noun.communication,fiction
232,232,noun.communication,Names
234,234,noun.communication,characters
236,236,noun.location,places
239,239,noun.event,incidents
240,240,verb.stative,are
243,243,noun.artifact,product
246,246,noun.person,author
248,248,noun.cognition,imagination
251,251,verb.consumption,used
256,256,noun.attribute,resemblance
259,259,noun.person,persons
265,266,noun.location,business establishments
268,268,noun.event,events
271,271,noun.location,locales
272,272,verb.stative,is
290,290,noun.quantity,6
291,293,noun.communication,5 4 3
298,298,verb.creation,Printed
301,301,noun.communication,U.S.A.
304,304,noun.communication,edition
306,306,verb.creation,printing
321,322,noun.person,Seamus Heaney
328,329,noun.person,Seamus Heaney
333,333,noun.communication,permission
339,339,noun.location,Giroux
341,341,noun.communication,Book
344,345,noun.person,Nina Goffi
347,347,noun.communication,text
349,349,verb.creation,set
356,356,noun.communication,display
357,357,noun.cognition,type
358,358,verb.communication,set
365,365,noun.person,Chuck
368,368,noun.person,love
371,371,noun.state,life
