start_token,end_token,supersense_category,text
1,7,noun.group,NUMBER ONE BOOK SENSE READING GROUP PICK
11,12,noun.group,GLASS CASTLE
14,14,noun.artifact,Walls
15,15,verb.possession,has
20,20,noun.cognition,knack
22,22,verb.creation,spinning
24,24,noun.communication,yarn
30,30,verb.stative,is
31,31,noun.quantity,nothing
47,47,noun.cognition,memory
48,48,verb.stative,is
59,59,noun.person,Walls
60,60,verb.communication,recounts
67,67,noun.attribute,detail
68,68,verb.stative,is
70,71,noun.possession,good fortune
84,84,noun.communication,memoir
89,90,noun.group,Glass Castle
92,92,noun.attribute,power
93,93,verb.stative,stems
97,97,noun.attribute,perspective
100,100,noun.communication,prose
105,106,noun.location,Village Voice
111,111,noun.time,day
114,114,noun.person,God
116,117,verb.possession,handing out
118,118,noun.act,whining
119,119,noun.attribute,privileges
122,123,verb.possession,came upon
124,125,noun.person,Jeannette Walls
127,127,verb.communication,said
135,135,noun.time,lifetime
136,136,noun.quantity,supply
140,140,noun.person,Walls
141,141,verb.possession,declined
144,144,noun.communication,offer
148,149,noun.location,Chicago Tribune
151,152,noun.person,Charles Dickens
154,154,noun.communication,scenes
156,156,noun.state,poverty
158,158,noun.state,hardship
159,159,verb.stative,are
171,171,noun.communication,pages
175,175,noun.communication,memoir
180,181,noun.group,Atlanta Journal
183,183,noun.group,Constitution
186,186,noun.group,people
187,187,verb.stative,are
189,189,noun.person,storytellers
192,192,noun.cognition,lives
193,193,verb.stative,are
195,195,verb.communication,telling
199,199,noun.communication,memoirs
200,200,verb.change,happen
204,204,noun.state,conditions
205,205,verb.stative,converge
209,210,noun.location,Glass Castle
217,218,noun.location,New York
222,223,noun.location,Glass Castle
224,224,verb.stative,is
226,226,noun.cognition,kind
228,228,noun.communication,story
230,230,verb.stative,keeps
236,236,noun.relation,rest
239,239,noun.artifact,house
241,242,verb.body,fallen asleep
250,251,noun.location,Glass Castle
253,253,noun.person,autobiographer
255,255,verb.communication,faced
259,259,noun.state,challenge
262,262,verb.social,attempting
264,264,verb.cognition,understand
266,266,verb.communication,forgive
269,269,verb.emotion,love
271,271,noun.person,witch
273,273,noun.group,Readers
275,275,verb.communication,marvel
278,278,noun.cognition,intelligence
280,280,noun.attribute,resilience
284,284,noun.person,kids
292,296,noun.group,New York Times Book Review
299,299,verb.motion,pull
313,313,noun.communication,story
317,318,noun.group,Kirkus Reviews
320,321,noun.person,Charles Dickens
322,322,verb.possession,has
323,323,noun.quantity,nothing
325,326,noun.person,Jeannette Walls
328,328,noun.person,author
336,336,noun.communication,story
342,342,noun.time,childhood
344,344,noun.person,Dickens
346,346,noun.communication,scenes
348,348,noun.state,poverty
350,350,noun.state,hardship
351,351,verb.stative,are
363,363,noun.communication,pages
367,367,noun.communication,memoir
372,373,noun.group,Atlanta Journal
379,379,noun.communication,book
381,381,noun.person,Walls
382,382,verb.stative,has
386,386,noun.cognition,knack
390,391,noun.group,Publishers Weekly
394,395,noun.location,Glass Castle
399,399,verb.emotion,exhaust
403,403,verb.change,fill
406,406,noun.feeling,fury
410,410,verb.stative,leave
416,416,noun.feeling,wonderment
424,425,noun.person,Jeannette Walls
427,427,verb.cognition,decided
429,429,verb.communication,tell
434,434,noun.phenomenon,result
435,435,verb.stative,is
438,438,noun.communication,memoir
446,446,verb.social,root
449,449,noun.person,Walls
450,450,noun.group,family
457,458,noun.location,Glass Castle
459,459,verb.stative,is
461,461,noun.cognition,kind
463,463,noun.communication,story
465,465,verb.stative,keeps
471,471,noun.relation,rest
474,474,noun.artifact,house
476,477,verb.body,fallen asleep
483,483,noun.person,Walls
484,484,verb.communication,writes
486,486,noun.attribute,clarity
488,488,noun.Tops,feeling
491,491,verb.stative,’s
494,494,noun.cognition,respect
496,496,verb.creation,infuses
499,499,noun.communication,story
501,501,noun.attribute,grace
505,506,noun.group,Tampa Tribune
514,514,noun.communication,book
518,519,noun.person,Rosie O’Donnell
521,522,noun.person,Jeannette Walls
524,524,verb.creation,carved
526,526,noun.communication,story
528,528,noun.attribute,precision
530,530,noun.state,grace
540,540,noun.time,childhoods
544,545,verb.cognition,set down
548,548,noun.communication,page
553,553,noun.communication,memoir
554,554,verb.stative,is
556,556,noun.state,triumph
560,560,noun.attribute,way
564,564,verb.creation,does
568,568,noun.communication,books
572,572,verb.communication,affirms
574,574,noun.cognition,faith
578,578,noun.person,spirit
582,583,noun.person,Dani Shapiro
585,585,noun.person,author
591,592,noun.group,Glass Castle
593,593,verb.stative,is
595,595,noun.communication,saga
601,601,noun.person,Walls
602,602,noun.group,family
604,604,verb.social,led
608,608,noun.person,eccentric
612,612,noun.person,artist
613,613,noun.person,wife
615,616,noun.person,Jeannette Walls
618,618,verb.cognition,survived
619,619,noun.state,poverty
621,621,noun.state,fires
625,625,noun.state,starvation
627,627,noun.state,triumph
631,631,verb.creation,written
634,634,noun.communication,tale
636,636,noun.attribute,honesty
638,638,noun.feeling,love
642,643,noun.person,Patricia Bosworth
645,645,noun.person,author
653,654,noun.person,Diane Arbus
657,657,noun.communication,Biography
660,660,verb.cognition,read
663,663,noun.communication,pages
665,667,noun.group,The Glass Castle
669,670,noun.person,Jeannette Walls
674,674,verb.communication,defy
678,679,verb.stative,go on
694,694,verb.emotion,touched
700,701,noun.person,Dominick Dunne
703,703,noun.person,author
711,711,noun.communication,Recollections
720,720,noun.person,parents
722,723,noun.location,Rose Mary
730,730,noun.time,wedding
731,731,noun.time,day
735,736,noun.location,Glass Castle
738,738,noun.communication,memoir
739,740,noun.location,Jeannette Walls
741,748,noun.group,SCRIBNER New York London Toronto Sydney A SCRIBNER
750,753,noun.location,Avenue of the Americas
754,755,noun.location,New York
757,757,noun.location,NY
760,760,noun.communication,names
762,762,noun.communication,identifying
763,763,noun.cognition,details
766,766,noun.communication,characters
769,769,noun.communication,book
772,772,verb.change,changed
774,774,noun.communication,Copyright
778,779,noun.person,Jeannette Walls
781,781,noun.attribute,rights
784,784,verb.stative,including
786,786,noun.attribute,right
788,788,noun.communication,reproduction
796,796,noun.communication,form
800,801,noun.communication,trade paperback
802,802,noun.communication,edition
806,806,noun.act,design
807,807,verb.stative,are
808,808,noun.artifact,trademarks
810,813,noun.group,Macmillan Library Reference USA
817,817,verb.consumption,used
819,819,noun.communication,license
821,823,noun.group,Simon & Schuster
826,826,noun.person,publisher
829,829,noun.artifact,work
832,832,noun.communication,information
835,835,noun.possession,discounts
838,838,noun.act,purchases
841,841,verb.communication,contact
842,844,noun.group,Simon & Schuster
