start_token,end_token,supersense_category,text
3,8,noun.group,NOWHERE GIRLS New York Public Library
10,10,noun.communication,Books
12,12,noun.time,Teens
15,19,noun.group,Chicago Public Library Best Teen
32,32,noun.person,finalist
45,45,noun.communication,story
47,47,noun.feeling,hope
49,49,noun.attribute,courage
53,53,noun.person,SMITH
55,56,noun.location,New York
57,57,noun.group,Times
59,59,noun.person,author
81,81,noun.act,call
91,91,verb.emotion,wants
93,94,verb.competition,fight back
102,102,noun.attribute,justice
104,104,noun.state,romance
106,106,noun.act,sex
107,107,noun.cognition,positivity
112,112,noun.act,sexism
115,115,verb.social,try
117,117,verb.contact,put
123,124,noun.group,KIRKUS REVIEWS
127,127,noun.communication,review
137,137,verb.cognition,read
141,143,noun.group,SCHOOL LIBRARY JOURNAL
146,146,noun.communication,review
153,153,noun.communication,portrayal
156,156,noun.state,sexuality
163,163,noun.cognition,review
167,167,noun.communication,statement
169,169,noun.act,rape
171,171,noun.act,sexism
174,174,noun.person,girl
175,175,noun.attribute,power
179,179,noun.location,VOYA
182,183,noun.person,AMY REED
184,189,noun.group,BeAvTiFvi CRAZY OVER YOU OUR S1ORICS
201,202,noun.location,EMPOWERMENT ANP
203,205,noun.group,GROWING UP EEMAEE
207,207,noun.location,AMERICA
210,212,noun.location,DD^ ° Broke
214,214,noun.location,WR}J
216,217,noun.location,SIMON PULSE
218,220,noun.location,NEW YORK LONDON
221,222,noun.location,TORONTO SYDNEY
223,224,noun.location,NEW DELHI
231,231,noun.communication,book
232,232,verb.stative,is
234,234,noun.artifact,work
236,236,noun.communication,fiction
239,239,noun.communication,references
242,242,noun.event,events
245,245,noun.group,people
249,249,noun.location,places
251,251,verb.consumption,used
255,255,noun.communication,names
257,257,noun.communication,characters
259,259,noun.location,places
262,262,noun.event,events
263,263,verb.stative,are
264,264,noun.artifact,products
267,267,noun.person,authors
268,268,noun.cognition,imagination
272,272,noun.attribute,resemblance
275,275,noun.event,events
277,277,noun.location,places
279,279,noun.person,persons
281,281,verb.stative,living
283,283,noun.time,dead
285,285,verb.stative,is
292,292,noun.communication,imprint
294,299,noun.group,Simon & Schuster Childrens Publishing Division
301,304,noun.location,Avenue of the Americas
306,307,noun.location,New York
309,310,noun.location,New York
315,316,noun.communication,paperback edition
317,317,noun.time,July
319,319,noun.communication,Text
320,320,noun.communication,copyright
327,327,noun.communication,illustration
328,328,noun.communication,copyright
341,341,noun.communication,edition
347,347,verb.stative,including
349,349,noun.attribute,right
351,351,noun.act,reproduction
359,359,noun.communication,form
361,362,noun.group,SIMON PULSE
364,364,noun.artifact,colophon
365,365,verb.stative,are
367,367,noun.communication,trademarks
369,371,noun.group,Simon & Schuster
375,375,noun.communication,information
378,378,noun.possession,discounts
380,381,noun.possession,bulk purchases
384,384,verb.communication,contact
404,406,noun.group,Schuster Speakers Bureau
408,408,verb.motion,bring
409,409,noun.person,authors
413,413,noun.event,event
417,417,noun.communication,information
420,420,verb.communication,book
422,422,noun.event,event
423,423,verb.communication,contact
425,425,noun.group,Simon
427,429,noun.group,Schuster Speakers Bureau
439,439,verb.social,visit
441,441,noun.communication,website
446,446,verb.creation,designed
448,449,noun.person,Heather Palisi
451,451,verb.creation,designed
453,454,noun.person,Greg Stadnyk
456,456,noun.communication,text
459,459,noun.communication,book
461,461,verb.creation,set
463,463,noun.person,Garamond
468,469,noun.location,United States
471,471,noun.location,America
480,480,verb.communication,cataloged
482,482,noun.communication,hardcover
483,483,noun.communication,edition
487,487,noun.communication,Names
489,489,noun.person,Reed
491,492,noun.person,Amy Lynn
494,494,noun.person,author
496,496,noun.communication,Title
503,504,noun.person,Amy Reed
506,506,noun.communication,Description
511,511,noun.communication,hardcover
512,512,noun.communication,edition
515,516,noun.location,New York
518,519,noun.group,Simon Pulse
524,524,noun.communication,Summary
529,529,noun.person,girls
530,531,verb.motion,come together
533,533,verb.competition,avenge
535,535,noun.act,rape
538,538,noun.person,girl
542,542,verb.cognition,knew
546,546,noun.act,process
547,547,verb.creation,start
549,549,noun.act,movement
551,551,verb.change,transforms
553,553,noun.cognition,lives
559,559,noun.group,publisher
561,561,noun.communication,Identifiers
566,566,noun.communication,print
587,587,noun.communication,Subjects
590,590,noun.group,CYAC
594,594,noun.communication,Fiction
599,599,noun.state,life
601,601,noun.communication,Fiction
604,604,noun.act,Sex
606,606,noun.communication,Fiction
609,610,noun.group,High schools
612,612,noun.communication,Fiction
615,615,noun.group,Schools
617,617,noun.communication,Fiction
621,621,noun.state,life
623,623,noun.location,Oregon
625,625,noun.communication,Fiction
628,628,noun.location,Oregon
632,632,noun.act,Classification
645,645,noun.communication,print
650,650,noun.group,FicJ
654,654,noun.communication,record
667,667,verb.competition,save
671,671,verb.change,remain
675,676,noun.person,Alice Sebold
678,679,noun.location,Lucky Prescott
681,681,noun.location,Oregon
683,683,noun.location,Population
687,687,noun.location,Elevation
690,690,noun.quantity,feet
