start_token,end_token,supersense_category,text
14,15,noun.person,Susan Kuklin
16,16,noun.communication,Photographs
21,21,noun.person,author
23,23,verb.possession,donated
25,25,noun.person,interviewees
27,28,noun.group,family members
30,30,verb.consumption,used
32,32,noun.communication,permission
35,35,noun.artifact,photograph
37,37,noun.person,Luke
39,39,noun.communication,page
42,42,verb.contact,reproduced
45,45,noun.cognition,kind
46,46,noun.communication,permission
48,49,noun.person,Callen Harty
56,56,noun.relation,part
59,59,noun.communication,book
62,62,verb.contact,reproduced
64,64,verb.communication,transmitted
67,67,verb.possession,stored
70,72,noun.artifact,information retrieval system
75,75,noun.cognition,form
88,88,verb.cognition,including
89,89,verb.cognition,photocopying
91,91,noun.act,taping
94,94,noun.artifact,recording
98,99,noun.communication,written permission
102,102,noun.group,publisher
105,105,noun.communication,paperback
106,106,noun.communication,edition
108,112,noun.group,Library of Congress Catalog Card
113,113,noun.communication,Number
124,124,noun.quantity,9
126,126,noun.artifact,hardcover
137,137,noun.quantity,0
139,139,noun.communication,paperback
146,146,noun.communication,APS
155,155,noun.location,Humen
157,157,noun.location,Dongguan
159,159,noun.location,China
161,161,noun.communication,book
163,163,verb.creation,typeset
165,165,noun.location,Mendoza
167,168,noun.location,Candlewick Press
170,171,noun.location,Dover Street
172,172,noun.location,Somerville
174,174,noun.location,Massachusetts
176,176,verb.social,visit
179,181,noun.group,www.candlewick.com For Bailey
186,186,noun.communication,NOTE
201,201,noun.person,CHRISTINA
214,214,noun.person,CAMERON
241,244,noun.group,LORDE COMMUNITY HEALTH CENTER
249,252,noun.group,DR . MANEL SILVA
255,256,noun.group,PROUD THEATER
260,260,noun.communication,RESOURCES
264,264,noun.communication,NOTE
269,269,noun.communication,stories
271,271,verb.stative,are
274,274,verb.cognition,read
275,275,verb.stative,are
278,278,noun.group,people
280,280,noun.person,members
286,286,noun.group,communities
289,289,noun.attribute,willingness
291,291,verb.cognition,brave
292,292,noun.act,bullying
294,294,noun.communication,criticism
298,298,verb.social,help
301,301,verb.communication,revealing
306,306,noun.communication,terms
307,307,verb.change,makes
311,311,verb.stative,be
320,320,noun.person,participants
322,322,verb.change,changed
324,325,noun.communication,birth name
327,327,noun.communication,pronouns
331,331,verb.communication,refer
336,336,verb.consumption,use
339,339,noun.communication,name
347,347,noun.event,transition
350,350,noun.communication,comments
352,352,verb.stative,represented
356,356,noun.communication,typeface
360,360,noun.communication,chapter
361,362,verb.stative,stands on
368,368,noun.group,series
370,371,noun.communication,short stories
375,375,verb.cognition,read
379,379,verb.contact,placed
384,384,noun.state,order
386,386,verb.emotion,want
388,394,noun.person,Susan Kuklin START OF BOOK SPECTRUM JESSY
401,401,noun.person,Jessy
402,402,verb.change,got
404,404,noun.time,period
407,407,verb.stative,was
411,411,verb.communication,says
415,415,verb.stative,was
426,426,noun.attribute,ness
430,430,verb.communication,cried
433,433,noun.person,mom
443,443,verb.stative,am
446,446,noun.person,woman
451,451,verb.emotion,want
457,457,verb.emotion,want
459,460,verb.body,give birth
463,463,noun.person,child
466,466,verb.emotion,want
467,467,noun.person,kids
473,473,verb.emotion,want
475,475,verb.stative,be
478,479,verb.change,giving birth
485,485,noun.communication,menstruation
487,487,noun.person,Mom
492,492,verb.emotion,want
499,499,verb.cognition,think
501,501,verb.emotion,want
506,506,verb.communication,said
510,510,noun.person,woman
511,511,verb.communication,deals
518,518,verb.change,makes
521,521,noun.person,woman
527,527,verb.stative,was
543,543,verb.stative,was
546,546,noun.person,person
548,548,verb.communication,said
552,552,verb.emotion,hate
554,554,noun.body,body
559,559,verb.emotion,wanted
562,562,verb.stative,fit
567,567,verb.emotion,felt
571,571,verb.consumption,ate
574,574,verb.body,treated
576,576,noun.body,body
578,578,noun.feeling,care
583,583,noun.artifact,house
586,586,noun.person,soul
591,591,verb.emotion,loved
593,593,noun.body,body
598,598,verb.emotion,love
604,604,verb.stative,fits
607,607,verb.perception,feel
621,621,verb.communication,said
624,624,noun.communication,things
631,631,verb.perception,experienced
633,633,noun.communication,disrespect
636,636,noun.person,peers
639,639,verb.cognition,think
644,644,verb.possession,have
647,647,noun.cognition,attitude
652,652,verb.stative,been
661,661,verb.change,made
662,662,noun.group,people
663,663,verb.emotion,feel
668,668,verb.stative,am
671,671,noun.communication,Facebook
672,672,noun.communication,page
673,673,verb.communication,says
681,681,verb.motion,taking
695,696,verb.communication,stands for
697,697,noun.substance,testosterone
701,701,noun.animal,hormone
709,709,verb.perception,had
712,712,noun.time,childhood
715,715,verb.social,did
720,720,verb.social,took
