start_token,end_token,supersense_category,text
5,5,noun.act,Incarceration
8,8,noun.time,Age
16,17,noun.location,NEW YORK
44,44,noun.relation,part
47,47,noun.communication,book
50,50,verb.contact,reproduced
54,54,noun.communication,form
58,58,noun.communication,permission
61,61,noun.group,publisher
63,63,noun.communication,Requests
65,65,noun.communication,permission
67,67,verb.creation,reproduce
68,68,noun.communication,selections
71,71,noun.communication,book
74,74,verb.social,made
77,77,noun.communication,website
81,81,noun.group,Zthenewpress.eom/:ontact
84,84,verb.creation,published
87,88,noun.location,United States
91,92,noun.group,New Press
94,95,noun.location,New York
99,99,noun.communication,edition
100,100,verb.change,published
103,104,noun.location,United States
107,108,noun.group,New Press
110,111,noun.location,New York
114,114,noun.act,Distributed
116,119,noun.group,Two Rivers Distribution ISBN
154,154,noun.quantity,9
156,156,noun.communication,ebook
159,161,noun.group,Library of Congress
163,163,verb.possession,cataloged
165,165,noun.communication,hardcover
166,166,noun.communication,edition
170,170,noun.person,Alexander
172,172,noun.person,Michelle
176,177,noun.person,Jim Crow
180,180,noun.state,incarceration
183,183,noun.time,age
190,191,noun.group,p. cm
195,195,noun.communication,references
197,197,noun.artifact,index
199,199,noun.communication,ISBN
208,208,noun.quantity,7
215,215,noun.communication,paper
219,220,noun.act,Criminal justice
225,226,noun.location,United States
232,232,noun.artifact,prisoners
234,235,noun.location,United States
239,240,noun.act,Race discrimination
242,243,noun.location,United States
247,248,noun.location,United States
250,251,noun.group,Race relations
262,263,noun.group,New Press
264,264,verb.communication,publishes
265,265,noun.communication,books
267,267,verb.social,promote
269,269,verb.change,enrich
270,270,noun.communication,public
271,271,noun.communication,discussion
273,273,noun.cognition,understanding
276,276,noun.cognition,issues
280,280,noun.group,democracy
286,286,noun.group,world
289,289,noun.communication,books
291,291,verb.change,made
295,295,noun.feeling,enthusiasm
298,298,noun.person,readers
301,301,noun.act,support
305,305,noun.group,group
307,307,noun.person,donors
314,314,noun.act,collaboration
318,318,noun.person,partners
322,322,noun.group,media
329,329,noun.possession,profit
330,330,noun.group,sector
