start_token,end_token,supersense_category,text
1,15,noun.group,MORTAL INSTRUMENTS City of Ashes Book Two CASSANDRA CLARE Margaret K. McElderry Books New York
16,18,noun.location,London Toronto Sydney
19,20,noun.location,New Delhi
21,24,noun.group,MARGARET K. McELDERRY BOOKS
26,26,noun.communication,imprint
36,39,noun.location,Avenue of the Americas
41,42,noun.location,New York
44,45,noun.location,New York
48,48,noun.communication,book
49,49,verb.stative,is
51,51,noun.artifact,work
53,53,noun.communication,fiction
56,56,noun.communication,references
59,59,noun.event,events
62,62,noun.group,people
66,66,noun.location,places
68,68,verb.consumption,used
72,72,noun.communication,names
74,74,noun.person,characters
76,76,noun.location,places
79,79,noun.event,events
80,80,verb.stative,are
81,81,noun.artifact,products
84,84,noun.person,author
86,86,noun.cognition,imagination
90,90,noun.attribute,resemblance
93,93,noun.event,events
95,95,noun.location,places
97,97,noun.person,persons
99,99,verb.stative,living
103,103,verb.stative,is
107,107,noun.communication,Text
112,113,noun.person,Cassandra Clare
119,119,noun.communication,illustration
120,120,noun.communication,copyright
124,126,noun.person,Cliff Nielsen Spine
127,127,noun.communication,landscape
128,128,noun.communication,illustration
129,129,noun.communication,copyright
133,134,noun.person,Nicolas Delort
136,137,noun.communication,figure illustration
138,138,noun.communication,copyright
142,143,noun.person,Pat Kinsella
145,145,noun.attribute,rights
148,148,verb.stative,including
150,150,noun.attribute,right
152,152,noun.communication,reproduction
160,160,noun.cognition,form
162,163,noun.person,Margaret K.
166,166,verb.stative,is
168,168,noun.communication,trademark
170,172,noun.group,Simon & Schuster
176,176,noun.communication,information
179,179,noun.quantity,discounts
181,182,noun.possession,bulk purchases
185,185,verb.communication,contact
186,188,noun.group,Simon & Schuster
200,200,noun.communication,business@simonandschuster.com
203,203,noun.person,Simon
205,206,noun.person,Schuster Speakers
207,207,noun.group,Bureau
209,209,verb.motion,bring
210,210,noun.person,authors
214,214,noun.event,event
218,218,noun.communication,information
221,221,verb.creation,book
223,223,noun.event,event
225,225,verb.communication,contact
227,227,noun.group,Simon
229,231,noun.person,Schuster Speakers Bureau
241,241,verb.communication,visit
243,243,noun.communication,website
251,252,noun.person,Margaret K.
256,256,noun.communication,edition
258,258,noun.act,design
260,261,noun.person,Russell Gordon
263,263,noun.act,design
265,266,noun.person,Mike Rosamilia
268,268,noun.communication,illustration
270,271,noun.person,Drew Willis
273,273,noun.communication,text
276,276,noun.communication,book
278,278,verb.creation,set
280,280,noun.communication,Dolly
282,282,verb.creation,Manufactured
285,286,noun.location,United States
288,288,noun.location,America
290,293,noun.group,Margaret K. McElderry Books
294,295,noun.communication,paperback edition
296,296,noun.time,September
308,310,noun.group,Library of Congress
312,312,verb.communication,cataloged
314,314,noun.communication,hardcover
315,315,noun.communication,edition
319,319,noun.person,Clare
321,321,noun.person,Cassandra
323,325,noun.location,City of ashes
327,328,noun.person,Cassandra Clare
332,332,noun.communication,ed
341,341,noun.artifact,instruments
343,343,noun.communication,bk
345,345,noun.quantity,two
347,347,noun.communication,Summary
351,351,noun.time,year
354,354,noun.person,Clary
355,355,verb.stative,continues
356,356,verb.social,trying
358,358,verb.cognition,make
359,359,noun.cognition,sense
364,364,noun.event,events
366,366,noun.state,relationships
369,369,noun.time,life
372,372,verb.change,becomes
377,377,noun.person,Shadowhunters
380,380,noun.act,pursuit
382,382,noun.person,demons
384,384,verb.perception,discovers
387,387,noun.cognition,truths
390,390,noun.person,parents
393,393,noun.person,brother
394,394,noun.person,Jace
398,398,noun.person,boyfriend
399,399,noun.person,Simon
410,410,noun.quantity,7
412,412,noun.communication,hardcover
430,430,noun.communication,Supernatural
432,432,noun.communication,Fiction
436,436,noun.communication,Demonology
438,438,noun.communication,Fiction
444,444,noun.communication,Fiction
448,449,noun.location,New York
451,451,noun.communication,N.Y.)—Fiction
455,455,noun.communication,Title
473,473,verb.change,repackaged
474,474,noun.communication,pbk
478,478,noun.person,father
481,481,verb.stative,is
492,493,noun.person,Foreword AU
495,495,noun.communication,stories
496,496,verb.stative,are
502,503,noun.person,Jace Wayland
504,504,verb.communication,tells
505,506,noun.person,Clary Fray
510,510,noun.communication,book
514,514,noun.communication,chronicles
516,518,noun.location,City of Bones
520,520,noun.person,Jace
521,521,verb.communication,means
529,529,noun.state,thing
534,534,verb.communication,means
541,541,verb.communication,told
544,544,verb.stative,exist
546,546,noun.person,vampires
