start_token,end_token,supersense_category,text
1,2,noun.person,Ellen Hopkins
5,6,noun.person,Ellen Hopkins
33,33,noun.cognition,imprint
35,37,noun.group,Simon & Schuster
44,47,noun.location,Avenue of the Americas
49,50,noun.location,New York
52,53,noun.location,New York
57,57,noun.communication,book
58,58,verb.stative,is
60,60,noun.artifact,work
62,62,noun.communication,fiction
65,65,noun.communication,references
68,68,noun.event,events
71,71,noun.group,people
75,75,noun.location,places
77,77,verb.consumption,used
81,81,noun.communication,names
83,83,noun.cognition,characters
85,85,noun.location,places
88,88,noun.event,events
89,89,verb.stative,are
90,90,noun.artifact,products
93,93,noun.person,author
95,95,noun.cognition,imagination
99,99,noun.attribute,resemblance
102,102,noun.event,events
104,104,noun.location,places
106,106,noun.person,persons
108,108,verb.stative,living
110,110,noun.state,dead
112,112,verb.stative,is
117,117,noun.communication,Text
118,118,noun.communication,copyright
122,123,noun.person,Ellen Hopkins
126,126,noun.communication,illustration
127,127,noun.communication,copyright
131,133,noun.person,Sammy Yuen Jr
136,136,noun.attribute,rights
139,139,verb.stative,including
141,141,noun.attribute,right
143,143,noun.communication,reproduction
151,151,noun.communication,form
154,157,noun.person,MARGARET K. McELDERRY BOOKS
158,158,verb.stative,is
160,160,noun.artifact,trademark
162,164,noun.group,Simon & Schuster
169,169,noun.communication,information
172,172,noun.possession,discounts
174,175,noun.possession,bulk purchases
178,178,verb.communication,contact
179,181,noun.group,Simon & Schuster
183,183,noun.communication,Sales
193,193,noun.communication,business@simonandschuster.com
197,199,noun.group,Simon & Schuster
200,201,noun.person,Speakers Bureau
203,203,verb.communication,bring
204,204,noun.person,authors
208,208,noun.event,event
212,212,noun.communication,information
215,215,verb.creation,book
217,217,noun.event,event
219,219,verb.communication,contact
221,225,noun.group,Simon & Schuster Speakers Bureau
235,235,verb.communication,visit
237,237,noun.communication,website
239,239,noun.person,www.simonspeakers.com
250,250,noun.communication,edition
253,253,noun.act,design
255,256,noun.person,Mike Rosamilia
259,259,verb.creation,edited
261,263,noun.person,Emma D. Dryden
266,266,noun.communication,text
269,269,noun.communication,book
271,271,verb.creation,set
282,283,noun.location,United States
285,285,noun.location,America
292,293,noun.communication,paperback edition
294,294,noun.time,January
300,300,noun.quantity,7
302,305,noun.group,The Library of Congress
307,307,verb.creation,cataloged
309,309,noun.communication,hardcover
310,310,noun.communication,edition
315,315,noun.person,Hopkins
317,317,noun.person,Ellen
320,323,noun.person,Traffick I Ellen Hopkins
326,327,noun.person,p. cm
336,336,noun.communication,Summary
339,339,noun.person,teenagers
340,340,verb.social,struggle
342,342,verb.possession,find
344,344,noun.act,way
347,347,noun.act,prostitution
361,361,noun.communication,hardback
381,381,noun.communication,Novels
383,383,noun.communication,verse
387,387,noun.act,Prostitution
389,389,noun.communication,Fiction
418,418,noun.communication,book
420,420,verb.communication,dedicated
424,424,verb.communication,committed
426,426,verb.social,helping
427,427,noun.person,victims
429,429,noun.act,trafficking
431,431,noun.person,child
433,433,noun.person,adult
435,435,noun.act,sex
437,437,noun.act,labor
439,439,verb.change,become
440,440,noun.person,survivors
444,444,noun.communication,thanks
448,448,verb.possession,shared
450,450,noun.communication,stories
454,455,verb.change,opening up
460,460,noun.state,situations
464,464,verb.cognition,chosen
466,466,verb.change,remain
472,472,verb.communication,pledged
474,474,verb.possession,respect
476,476,noun.attribute,privacy
482,482,noun.time,future
484,484,noun.person,survivors
492,492,noun.communication,BOOK
496,498,noun.person,Cody Bennett Ca
500,500,verb.possession,Find
502,502,noun.attribute,courage
504,504,verb.motion,leap
506,506,noun.location,brink
510,510,verb.motion,fall
513,513,noun.object,precipice
515,515,verb.motion,hurtle
518,518,noun.object,abyss
520,520,verb.change,end
522,522,noun.feeling,pain
526,526,noun.person,Mom
533,533,verb.perception,feel
536,536,noun.state,sting
538,538,verb.communication,cry
541,541,noun.time,day
553,553,noun.feeling,stab
555,555,noun.feeling,grief
557,557,noun.location,Finite
563,563,noun.artifact,coffin
568,568,noun.object,hole
570,570,verb.motion,walking
572,572,noun.artifact,treadmill
575,575,noun.artifact,carpet
577,577,noun.animal,coals
579,579,verb.emotion,enduring
583,583,noun.body,skin
586,586,noun.attribute,flames
589,589,verb.stative,be
594,594,noun.location,hell
596,597,noun.person,Cody Awake
600,600,noun.act,swim
603,603,noun.phenomenon,light
605,605,verb.contact,breaking
607,607,noun.artifact,surface
609,609,verb.motion,crawl
613,613,noun.object,beach
618,618,noun.location,land
621,621,noun.group,living
624,624,verb.perception,seems
628,628,noun.cognition,goal
634,634,verb.emotion,wish
637,637,verb.change,died
645,645,noun.cognition,thought
647,647,verb.motion,pop
650,650,noun.body,head
653,653,verb.contact,open
655,655,noun.body,eyes
657,657,verb.contact,Snap
665,665,verb.motion,treading
667,667,noun.substance,water
671,671,verb.possession,have
673,673,noun.cognition,idea
678,678,verb.social,test
680,680,noun.artifact,light
686,686,noun.phenomenon,glare
689,689,noun.artifact,walls
690,690,verb.communication,makes
692,692,verb.contact,bury
694,694,noun.body,head
697,697,noun.artifact,pillow
699,699,noun.animal,Bleach
700,700,noun.Tops,stink
701,701,verb.contact,assaults
705,705,verb.emotion,fights
708,708,noun.attribute,smell
710,710,verb.communication,confirms
712,712,verb.stative,’m
715,715,noun.artifact,hospital
717,717,noun.artifact,Hospital
722,722,noun.communication,information
723,723,verb.motion,sinks
726,726,noun.phenomenon,fog
727,727,verb.contact,licking
730,730,noun.body,head
732,732,verb.cognition,syncs
735,735,noun.event,onslaught
737,737,noun.event,noises
739,739,noun.artifact,Monitors
740,740,verb.perception,beeping
742,742,noun.artifact,Ventilators
743,743,verb.motion,whooshing
751,751,noun.act,game
752,752,noun.act,show
754,754,noun.communication,TV
756,756,noun.artifact,Tubes
757,757,verb.stative,jut
760,760,noun.body,arms
766,766,noun.artifact,brace
767,767,verb.contact,wraps
769,769,noun.body,midsection
771,771,verb.social,limiting
772,772,noun.act,movement
776,776,verb.social,manage
778,778,verb.motion,swivel
780,780,noun.body,head
784,784,noun.event,snore
785,785,verb.communication,marking
786,786,noun.time,time
791,791,noun.body,elbow
793,793,noun.person,Mom
795,795,verb.motion,dozing
800,800,noun.substance,plastic
801,801,noun.artifact,chair
804,804,noun.artifact,bed
807,807,noun.communication,voice
808,808,verb.motion,floats
810,810,noun.cognition,memory
812,813,verb.motion,Come back
817,817,noun.person,Cody
818,818,noun.person,boy
824,824,verb.motion,leave
830,830,verb.cognition,remember
832,832,noun.body,hands
839,840,noun.plant,rose petals
843,843,verb.creation,fragranced
846,846,noun.attribute,way
850,850,verb.contact,stroked
852,852,noun.body,face
857,857,verb.communication,urging
859,859,noun.communication,Please
861,861,noun.person,son
865,865,verb.change,make
872,872,verb.social,make
885,885,verb.emotion,want
887,887,verb.social,help
889,889,verb.social,make
894,894,verb.emotion,want
896,897,verb.motion,go back
899,899,verb.body,sleep
905,905,verb.social,accomplished
910,910,verb.stative,waiting
913,913,noun.event,resurrection
916,916,noun.person,Mo
918,918,noun.person,mom
924,924,verb.social,force
926,926,noun.communication,word
930,930,noun.group,soup
932,932,noun.animal,phlegm
935,935,verb.motion,exits
937,937,noun.body,mouth
940,940,noun.communication,whisper
945,945,verb.body,stir
948,948,verb.change,clear
950,950,noun.body,throat
952,952,noun.person,Cody
956,956,verb.communication,mumbles
