start_token,end_token,supersense_category,text
1,1,noun.communication,BOOK
7,8,noun.group,Tiffany Jewell
9,9,verb.creation,Illustrated
11,11,noun.person,Aurelia
13,14,noun.person,Frances Lincoln
23,24,noun.group,GROWING INTO
28,28,noun.communication,Chapter
36,36,noun.communication,Chapter
46,46,noun.communication,Chapter
55,55,noun.attribute,Ethnicity
58,58,noun.communication,Chapter
69,69,noun.communication,Chapter
84,84,noun.cognition,SENSE
89,89,noun.communication,Chapter
96,96,noun.communication,Chapter
104,104,noun.communication,Chapter
109,109,noun.time,History
111,111,noun.communication,Chapter
117,120,noun.group,History CHOOSING MY PATH
129,129,noun.communication,Chapter
135,135,noun.communication,Chapter
139,139,noun.act,Action
142,142,noun.communication,Chapter
148,148,noun.communication,Chapter
151,151,noun.location,Solidarity
153,153,noun.communication,Chapter
172,172,noun.communication,Chapter
175,177,noun.group,Spending That Privilege
179,179,noun.communication,Chapter
184,184,noun.communication,Chapter
187,188,noun.group,Building Relationships
190,190,noun.communication,Chapter
193,193,noun.feeling,Love
196,196,noun.communication,Chapter
203,203,noun.communication,Chapter
210,210,noun.communication,NOTE
213,213,verb.perception,notice
216,216,verb.cognition,chosen
218,218,verb.consumption,use
225,225,noun.group,folks
229,229,verb.stative,is
232,232,verb.change,fender
234,234,noun.communication,term
235,235,verb.creation,created
238,238,noun.group,communities
243,243,verb.emotion,like
245,245,verb.emotion,honor
248,248,verb.cognition,reads
250,250,noun.communication,book
252,252,verb.change,Replacing
255,255,noun.communication,ks
262,263,verb.communication,allows for
265,265,noun.person,reader
270,270,verb.perception,seen
273,273,verb.perception,see
280,280,verb.social,capitalize
281,281,noun.person,Black
283,283,noun.person,Brown
285,285,noun.person,Indigenous
287,289,noun.group,People of Color
292,292,noun.group,Eolx
295,296,noun.group,Global Y
301,301,verb.cognition,believe
303,303,verb.stative,is
306,306,verb.change,center
308,308,noun.communication,voices
310,310,noun.state,lives
316,316,verb.social,marginalized
318,318,verb.communication,silenced
326,326,noun.time,history
333,333,verb.change,building
334,334,noun.cognition,solidarity
337,337,noun.communication,language
339,339,verb.cognition,choose
344,344,verb.consumption,use
346,346,noun.communication,term
348,348,noun.group,minority
351,351,verb.communication,describe
352,352,noun.person,Black
354,354,noun.person,Brown
363,363,verb.stative,are
368,368,noun.object,world
370,370,verb.consumption,Using
372,372,noun.communication,language
374,374,noun.cognition,racism
376,376,verb.change,minimize
379,379,noun.feeling,selves
383,383,verb.communication,allow
386,386,verb.cognition,forget
389,389,noun.cognition,roots
391,391,noun.person,ancestors
394,394,verb.communication,allows
397,397,verb.creation,create
399,399,noun.time,history
406,406,noun.communication,voices
410,410,verb.cognition,shaped
413,413,noun.person,oppressor
416,416,noun.group,race
420,420,noun.cognition,identities
422,422,verb.creation,constructed
424,424,noun.group,people
431,431,noun.attribute,privilege
434,434,noun.attribute,academia
