start_token,end_token,supersense_category,text
5,9,noun.group,Nic Stone Dear Martin Jackpot
11,11,verb.stative,is
13,13,noun.artifact,work
15,15,noun.communication,fiction
17,17,noun.communication,Names
19,19,noun.communication,characters
21,21,noun.location,places
24,24,noun.event,incidents
26,26,verb.stative,are
28,28,noun.artifact,product
31,31,noun.person,author
33,33,noun.cognition,imagination
36,36,verb.consumption,used
40,40,noun.attribute,resemblance
43,43,noun.person,persons
45,45,verb.stative,living
47,47,noun.state,dead
49,49,noun.event,events
52,52,noun.communication,locales
53,53,verb.stative,is
57,57,noun.communication,Text
58,58,noun.communication,copyright
62,63,noun.person,Andrea Livingstone
64,65,noun.communication,Cover photograph
66,66,noun.communication,copyright
70,71,noun.person,Nigel Livingstone
76,76,verb.creation,Published
79,80,noun.location,United States
85,85,noun.cognition,imprint
87,88,noun.group,Random House
94,94,noun.cognition,division
96,99,noun.group,Penguin Random House LLC
101,102,noun.location,New York
105,105,verb.creation,published
110,111,noun.location,United States
113,114,noun.group,Crown Books
120,120,noun.cognition,imprint
122,126,noun.group,Random House Children ’s Books
129,129,noun.cognition,division
131,134,noun.group,Penguin Random House LLC
136,137,noun.location,New York
142,142,noun.person,Ember
145,146,noun.person,E colophon
149,149,noun.communication,trademarks
151,154,noun.group,Penguin Random House LLC
156,156,noun.group,Visit
160,160,noun.group,Web
162,163,noun.group,GetUnderlined.com Educators
165,165,noun.person,librarians
169,169,noun.group,variety
171,172,noun.cognition,teaching tools
174,174,verb.social,visit
177,180,noun.group,RHTeachersLibrarians.com Library of Congress
187,187,verb.stative,is
201,201,noun.quantity,7
209,210,noun.location,United States
212,212,noun.location,America
224,224,verb.stative,supports
226,227,noun.communication,First Amendment
229,229,verb.social,celebrates
231,232,noun.attribute,right to
233,233,verb.communication,read
238,238,noun.group,people
243,243,verb.cognition,know
254,256,noun.group,Courtney Aloysius Cooper
268,268,verb.emotion,devastated
270,270,verb.emotion,pissed
272,272,verb.change,deflated
275,275,verb.social,let
279,279,noun.artifact,house
283,283,verb.motion,climb
285,285,noun.artifact,stairs
288,289,noun.person,best friend
291,291,noun.artifact,bedroom
296,296,verb.emotion,crushed
301,301,noun.time,month
304,305,noun.time,junior year
307,308,noun.group,high school
312,312,noun.person,girlfriend
313,313,verb.contact,kicked
317,317,noun.artifact,curb
320,320,noun.group,pair
325,325,noun.artifact,shoes
334,334,verb.motion,stop
337,337,noun.artifact,door
339,339,verb.change,get
341,341,noun.Tops,act
344,345,noun.person,Best Friend
348,348,verb.change,get
355,355,verb.contact,Rubbing
357,357,noun.body,eyes
360,360,noun.body,whites
361,361,verb.perception,look
366,366,verb.contact,slumping
368,368,noun.body,shoulders
370,370,verb.motion,hanging
372,372,noun.body,head
375,375,verb.contact,poking
377,377,noun.body,bottom
378,378,noun.body,lip
386,386,verb.perception,look
391,392,noun.person,Best Friend
396,396,verb.perception,look
400,400,noun.artifact,phone
403,403,verb.contact,open
405,405,noun.artifact,door
411,411,verb.emotion,offended
414,414,verb.social,did
417,417,noun.act,work
418,418,verb.communication,pretending
419,419,noun.feeling,sadness
428,428,noun.state,thing
430,430,verb.stative,keeps
432,432,noun.body,eyes
437,437,noun.artifact,screen
441,441,verb.contact,sitting
444,444,noun.artifact,desk
446,446,noun.artifact,laptop
456,457,noun.artifact,tank tops
459,459,noun.quantity,nothing
468,468,verb.change,got
474,475,verb.change,going on
480,480,noun.person,girls
487,487,verb.body,wearing
490,490,noun.artifact,shorts
498,498,noun.location,bottom
504,504,noun.communication,words
507,507,noun.person,papi
511,511,noun.artifact,chichis
513,513,noun.communication,culo
516,516,noun.person,girl
526,526,verb.perception,notice
529,529,verb.social,trying
531,531,verb.communication,ignore
538,539,verb.change,started blooming
547,547,noun.group,grade
552,552,verb.cognition,know
555,555,verb.contact,kick
559,559,noun.artifact,curb
562,562,verb.cognition,knew
564,565,verb.cognition,thought of
571,571,noun.state,way
578,578,verb.perception,see
580,580,verb.contact,sitting
586,586,noun.body,skin
593,593,noun.substance,sand
596,596,noun.body,hair
597,597,verb.contact,plopped
602,602,noun.body,head
607,608,noun.artifact,bun thing
613,613,verb.possession,dumped
615,615,noun.person,dude
616,616,noun.Tops,act
617,617,verb.motion,drops
620,621,noun.state,bad habit
624,624,verb.contact,close
626,626,noun.body,eyes
629,629,noun.cognition,image
632,632,verb.contact,seared
636,636,noun.cognition,memory
642,642,verb.body,pull
649,649,noun.body,eyes
654,654,verb.motion,cross
656,656,noun.artifact,room
658,658,verb.cognition,know
664,665,verb.motion,drop down
669,669,noun.person,La
673,673,noun.person,Boy
675,676,verb.stative,belonged to
678,678,noun.person,dad
682,682,noun.event,squeak
685,685,noun.artifact,springs
688,688,noun.artifact,chair
693,693,verb.communication,say
695,695,noun.communication,word
698,698,verb.change,crack
700,700,noun.body,eye
703,703,noun.act,earbuds
708,708,noun.act,way
712,712,verb.cognition,realize
722,722,verb.body,smiles
727,727,noun.artifact,phone
737,737,verb.motion,taps
744,744,noun.time,seconds
747,747,verb.stative,’s
749,749,noun.attribute,ping
753,753,noun.communication,text
762,762,verb.body,sigh
775,775,noun.event,tap
791,791,verb.communication,says
793,793,verb.perception,looking
799,799,verb.contact,put
801,801,noun.artifact,clothes
804,804,noun.person,Jupe
812,812,verb.cognition,checked
815,815,verb.stative,’re
818,818,noun.possession,domain
829,829,verb.communication,talk
835,835,verb.communication,say
839,839,verb.communication,talk
843,843,noun.person,Ping
846,846,verb.cognition,reads
848,848,noun.person,Chuckles
856,856,verb.communication,talking
860,860,verb.body,take
863,863,noun.substance,breath
865,865,verb.contact,Wrangle
