start_token,end_token,supersense_category,text
4,4,noun.communication,NOVEL
6,7,noun.person,JAY ASHER
12,14,noun.group,Penguin Random House
15,16,noun.person,Q Min
27,27,noun.artifact,colophon
28,28,verb.stative,are
31,31,noun.attribute,trademark
33,35,noun.group,Penguin Random House
38,38,noun.communication,Copyright
46,46,verb.possession,supports
47,47,noun.communication,copyright
49,49,noun.communication,Copyright
50,50,verb.stative,fuels
51,51,noun.feeling,creativity
53,53,verb.emotion,encourages
55,55,noun.attribute,voices
57,57,verb.competition,promotes
58,59,noun.communication,free speech
62,62,verb.creation,creates
65,65,noun.group,culture
67,68,noun.communication,Thank you
70,70,verb.possession,buying
73,73,noun.communication,edition
76,76,noun.communication,book
79,79,verb.social,complying
81,81,noun.communication,copyright
82,82,noun.communication,laws
85,85,verb.cognition,reproducing
87,87,verb.change,scanning
90,90,verb.possession,distributing
92,92,noun.artifact,part
97,97,noun.communication,form
99,99,noun.communication,permission
103,103,verb.social,supporting
104,104,noun.person,writers
106,106,verb.communication,allowing
107,109,noun.group,Penguin Random House
111,111,verb.stative,continue
113,113,verb.creation,publish
114,114,noun.communication,books
117,117,noun.person,reader
119,121,noun.group,LIBRARY OF CONGRESS
126,128,noun.group,PUBLICATION DATA Asher
132,132,noun.communication,reasons
136,136,noun.communication,novel
139,140,noun.person,Jay Asher
145,145,noun.communication,Summary
148,149,noun.group,high school
150,150,noun.person,student
151,152,noun.person,Clay Jensen
153,153,verb.possession,receives
155,155,noun.artifact,box
158,158,noun.communication,mail
159,159,verb.stative,containing
161,162,noun.artifact,cassette tapes
163,163,verb.communication,recorded
166,166,noun.person,classmate
167,167,noun.person,Hannah
170,170,verb.social,committed
171,171,noun.act,suicide
174,174,verb.stative,spends
179,179,noun.time,night
182,182,noun.location,town
184,184,verb.perception,listening
186,186,noun.person,Hannah
188,188,noun.attribute,voice
189,189,verb.communication,recounting
191,191,noun.event,events
192,192,verb.stative,leading
196,196,noun.event,death
208,208,noun.quantity,0
212,212,noun.act,Suicide
214,214,noun.communication,Fiction
218,219,noun.group,High schools
221,221,noun.communication,Fiction
225,225,noun.location,Schools
227,227,noun.communication,Fiction
232,232,noun.relation,relations
234,234,noun.communication,Fiction
248,248,verb.creation,Printed
251,254,noun.location,United States of America
255,256,noun.group,32nd Printing
258,258,verb.stative,is
260,260,noun.artifact,work
262,262,noun.communication,fiction
264,264,noun.communication,Names
266,266,noun.communication,characters
268,268,noun.location,places
271,271,noun.communication,incidents
273,273,verb.stative,are
275,275,noun.artifact,product
278,278,noun.person,author
280,280,noun.cognition,imagination
283,283,verb.consumption,used
288,288,noun.attribute,resemblance
291,291,noun.person,persons
295,295,noun.time,dead
297,297,noun.group,businesses
299,299,noun.group,companies
301,301,noun.event,events
304,304,noun.location,locales
305,305,verb.stative,is
310,311,noun.person,JoanMarie START
319,319,verb.communication,repeats
326,326,verb.emotion,want
329,329,verb.motion,get
334,334,verb.contact,rub
336,336,noun.body,fingers
343,343,noun.body,eyebrow
346,346,noun.event,throbbing
348,348,verb.change,become
355,355,verb.stative,matter
359,359,verb.communication,say
362,362,noun.person,clerk
363,363,verb.contact,takes
365,365,noun.artifact,package
369,369,noun.artifact,shoebox
371,371,verb.contact,sat
374,374,noun.artifact,porch
380,380,noun.time,hours
383,383,verb.contact,rewrapped
387,388,noun.artifact,paper bag
390,390,verb.contact,sealed
393,394,noun.artifact,packing tape
400,400,verb.possession,received
405,405,verb.communication,addressed
409,409,noun.communication,name
413,413,noun.communication,name
415,416,noun.person,Hannah Baker
418,418,noun.communication,list
421,421,noun.person,Baker
423,423,noun.quantity,dozen
427,427,verb.communication,mumble
431,431,verb.emotion,feel
435,435,verb.perception,noticing
439,439,verb.communication,Excuse
444,444,verb.body,shake
446,446,noun.body,head
451,451,verb.stative,is
456,457,noun.person,JAY ASHER
459,459,verb.contact,places
461,461,noun.artifact,box
464,464,noun.substance,rubber
465,465,noun.artifact,pad
468,468,verb.contact,punches
470,470,noun.communication,sequence
473,473,noun.artifact,keypad
476,476,verb.contact,set
478,478,noun.artifact,cup
480,480,noun.substance,gas
482,482,noun.artifact,station
483,483,noun.food,coffee
486,486,noun.artifact,counter
488,488,verb.perception,glance
491,491,noun.artifact,screen
494,494,verb.contact,pull
497,497,noun.possession,bills
500,500,noun.artifact,wallet
502,502,verb.contact,dig
504,504,noun.artifact,coins
508,508,noun.artifact,pocket
511,511,verb.contact,place
513,513,noun.possession,money
516,516,noun.artifact,counter
522,522,verb.cognition,think
524,524,noun.food,coffee
526,527,verb.possession,kicked in
532,532,verb.communication,says
537,537,verb.possession,missing
539,539,noun.quantity,dollar
543,543,verb.possession,hand
547,547,noun.quantity,dollar
550,550,verb.contact,rub
552,552,noun.state,sleep
555,555,noun.body,eyes
558,558,noun.food,coffee
563,563,verb.consumption,take
565,565,noun.act,sip
567,567,verb.change,making
571,572,verb.consumption,gulp down
578,579,verb.body,wake up
588,588,verb.stative,’s
591,592,verb.social,get through
594,594,noun.time,day
604,604,noun.act,way
606,607,verb.motion,get through
608,608,noun.time,today
613,613,verb.motion,arrive
616,616,noun.location,address
621,621,verb.communication,says
626,626,noun.time,day
628,628,noun.time,tomorrow
633,633,verb.motion,drops
635,635,noun.artifact,box
638,638,noun.artifact,cart
645,645,verb.cognition,waited
648,648,noun.group,school
653,653,verb.communication,given
654,654,noun.person,Jenny
657,657,noun.time,day
659,659,noun.state,peace
665,665,verb.emotion,deserve
670,671,verb.motion,gets home
677,677,noun.time,day
681,681,verb.possession,find
683,683,noun.artifact,package
686,686,noun.artifact,doorstep
691,691,noun.person,mom
693,693,noun.person,dad
695,695,noun.Tops,someone
697,697,verb.motion,gets
704,704,verb.possession,find
708,708,noun.artifact,bed
713,713,verb.stative,be
717,717,verb.stative,was
721,721,noun.artifact,package
724,725,noun.communication,return address
729,729,verb.cognition,forget
732,732,verb.stative,was
740,740,noun.person,admirer
745,745,verb.emotion,want
747,747,noun.communication,receipt
751,751,noun.person,clerk
752,752,verb.communication,asks
759,759,verb.motion,shake
761,761,noun.body,head
765,765,noun.artifact,printer
766,766,verb.contact,clicks
772,772,verb.perception,watch
774,774,verb.contact,tear
776,776,noun.artifact,slip
780,780,noun.substance,plastic
782,782,verb.motion,drop
786,786,noun.artifact,wastebasket
792,793,noun.group,post office
795,795,noun.location,town
798,798,verb.cognition,wonder
802,802,noun.person,clerk
803,803,verb.social,helped
806,806,noun.group,people
809,809,noun.communication,list
813,813,verb.possession,got
815,815,noun.artifact,package
821,821,verb.possession,keep
823,823,noun.possession,receipts
826,826,noun.artifact,souvenirs
828,828,verb.contact,Tuck
832,832,noun.artifact,underwear
833,833,noun.artifact,drawers
835,835,verb.contact,Pin
839,839,noun.artifact,corkboards
843,843,verb.communication,ask
846,846,noun.communication,receipt
851,851,verb.communication,say
855,855,verb.stative,’m
860,860,verb.possession,have
868,868,noun.communication,reminder
873,873,verb.emotion,wanted
875,875,noun.communication,reminder
880,880,verb.creation,made
881,881,noun.artifact,copies
884,884,noun.communication,tapes
886,886,verb.possession,saved
888,888,noun.artifact,map
893,893,verb.emotion,want
895,895,verb.perception,hear
897,897,noun.artifact,tapes
902,902,noun.attribute,voice
905,905,verb.motion,leave
907,907,noun.body,head
911,911,noun.artifact,houses
914,914,noun.artifact,streets
918,919,noun.group,high school
922,922,verb.stative,be
925,925,verb.cognition,remind
933,933,noun.attribute,control
937,937,noun.artifact,package
938,938,verb.stative,is
941,941,noun.act,way
944,944,verb.motion,leave
946,947,noun.artifact,post office
950,950,noun.communication,receipt
956,956,noun.body,eyebrow
959,959,noun.body,head
962,962,verb.body,pounding
965,965,noun.food,swallow
966,966,verb.perception,tastes
973,973,verb.motion,get
975,975,noun.group,school
980,980,verb.motion,come
982,982,verb.emotion,collapsing
985,985,verb.emotion,want
987,987,verb.motion,collapse
990,990,verb.emotion,want
992,992,verb.motion,fall
995,995,noun.artifact,sidewalk
999,999,verb.contact,drag
1003,1003,noun.plant,ivy
1009,1009,noun.plant,ivy
1011,1011,noun.artifact,sidewalk
1012,1012,verb.motion,curves
1014,1014,verb.motion,following
1016,1016,noun.location,outside
1019,1019,noun.artifact,school
1020,1021,noun.location,parking lot
1024,1024,verb.stative,cuts
1028,1028,noun.location,lawn
1033,1033,noun.artifact,building
1036,1036,verb.stative,leads
1039,1040,noun.artifact,front doors
1042,1042,verb.stative,turns
1045,1045,noun.artifact,hallway
1048,1048,verb.stative,meanders
1050,1050,noun.group,rows
1052,1052,noun.artifact,lockers
1054,1055,noun.location,JAY ASHER
1057,1057,noun.artifact,classrooms
1060,1060,noun.location,sides
