start_token,end_token,supersense_category,text
1,1,verb.stative,IS
4,5,noun.person,Sylvia Mendez
10,10,noun.act,Fight
12,19,noun.group,Desegregation DUNCAN TONATIUH ABRAMS BOOKS FOR YOUNG READERS
21,23,noun.location,NEW YORK START
34,34,verb.stative,were
40,40,noun.body,hair
41,41,verb.stative,was
47,47,noun.artifact,trenzas
50,50,verb.stative,was
53,53,noun.time,day
56,56,noun.group,Westminster
57,57,noun.artifact,school
60,60,noun.artifact,halls
64,64,noun.person,students
68,69,verb.contact,looking for
71,71,noun.artifact,locker
76,76,noun.person,boy
77,77,verb.communication,pointed
81,81,verb.communication,yelled
84,85,verb.motion,Go back
89,89,noun.artifact,school
94,94,verb.stative,belong
100,100,noun.relation,rest
103,103,noun.time,day
105,105,noun.person,Sylvia
108,108,verb.communication,speak
110,110,verb.communication,introduce
114,114,noun.act,classes
117,117,verb.stative,kept
119,119,noun.body,head
122,122,verb.motion,walking
125,125,noun.artifact,halls
129,129,verb.motion,got
132,132,noun.time,afternoon
135,135,verb.communication,told
137,137,noun.person,mom
139,139,noun.person,Felicitas
143,143,verb.change,happened
151,152,verb.stative,go to
154,154,noun.group,school
158,158,noun.person,kids
159,159,verb.stative,are
164,164,noun.person,Sylvia
167,167,verb.communication,said
169,169,noun.person,mother
184,184,verb.cognition,know
186,186,verb.stative,is
189,189,verb.competition,fought
194,194,noun.time,years
199,199,noun.time,summer
203,203,noun.person,Sylvia
206,206,noun.person,brothers
208,208,noun.person,Jerome
210,211,noun.person,Gonzalo Jr.
215,215,noun.person,parents
217,217,verb.motion,moved
221,221,noun.location,city
223,224,noun.location,Santa Ana
226,226,noun.location,California
230,230,noun.artifact,farm
233,233,noun.location,Westminster
236,236,noun.person,father
238,239,noun.person,Gonzalo Mendez
242,242,verb.social,labored
244,244,noun.time,years
247,247,noun.person,field
249,249,noun.person,worker
251,251,verb.contact,picking
252,252,noun.plant,grapes
254,254,noun.food,oranges
259,259,verb.possession,leasing
261,261,noun.artifact,farm
267,267,verb.stative,be
269,269,noun.person,boss
274,274,noun.artifact,farm
279,279,verb.change,grow
280,280,noun.food,asparagus
282,282,noun.food,chilies
285,285,noun.food,tomatoes
290,290,noun.time,summer
291,291,verb.change,came
294,294,noun.location,end
298,298,noun.time,day
300,300,noun.group,school
301,301,verb.motion,neared
303,304,noun.person,Aunt Soledad
305,305,verb.motion,drove
306,306,noun.person,Sylvia
309,309,noun.person,brothers
312,312,noun.person,cousins
314,314,noun.person,Alice
316,316,noun.person,Virginia
321,322,noun.group,public school
324,325,noun.location,17th Street
329,329,verb.social,enroll
331,331,noun.person,Sylvia
335,335,verb.motion,enter
337,337,noun.group,grade
339,339,noun.person,Gonzalo
343,343,verb.motion,enter
347,347,noun.person,Jerome
353,353,noun.artifact,building
355,355,verb.cognition,thought
356,356,noun.person,Sylvia
359,359,verb.motion,pulled
362,363,noun.location,parking lot
365,365,noun.plant,Tall
366,366,noun.plant,trees
367,367,verb.stative,lined
369,369,noun.artifact,street
374,374,noun.artifact,school
379,379,noun.artifact,playground
381,381,noun.animal,monkey
382,382,noun.artifact,bars
386,386,noun.artifact,swing
390,390,verb.motion,walked
393,393,noun.artifact,school
396,396,verb.perception,noticed
399,399,noun.artifact,hallways
400,400,verb.stative,were
412,412,verb.social,enroll
414,414,noun.person,children
418,418,verb.communication,said
419,420,noun.person,Aunt Soledad
423,424,verb.motion,arrived at
426,426,noun.person,principal
428,428,noun.artifact,office
431,431,noun.person,secretary
432,432,verb.possession,gave
433,434,noun.person,Aunt Soledad
436,436,noun.act,enrollment
437,437,noun.communication,forms
441,441,noun.person,Alice
445,445,noun.location,Virginia
451,451,verb.possession,give
453,453,noun.act,enrollment
454,454,noun.communication,forms
456,456,noun.person,Sylvia
459,459,noun.person,brothers
465,465,verb.stative,attend
467,467,noun.group,school
470,470,verb.communication,said
472,472,noun.person,secretary
477,478,verb.motion,go to
481,481,noun.group,school
489,490,verb.motion,go to
493,493,noun.artifact,school
495,495,noun.person,Sylvia
496,496,verb.cognition,wondered
499,499,verb.stative,was
504,504,verb.stative,was
508,508,verb.communication,spoke
510,510,noun.communication,English
513,513,noun.person,father
514,514,verb.stative,was
516,516,noun.location,Mexico
521,521,verb.change,become
523,523,noun.group,U.S.
524,524,noun.person,citizen
527,527,noun.person,mother
528,528,verb.stative,was
530,531,noun.location,Puerto Rico
534,534,verb.stative,was
536,536,noun.group,U.S.
537,537,noun.possession,territory
539,540,noun.person,Aunt Soledad
541,541,verb.stative,was
548,548,verb.stative,live
551,551,noun.location,part
553,553,noun.location,town
556,556,noun.person,Sylvia
557,557,verb.perception,looked
560,560,noun.person,cousins
563,563,verb.stative,had
565,565,noun.body,skin
569,569,noun.body,hair
574,574,noun.communication,name
575,575,verb.stative,was
576,576,noun.person,Vidaurri
579,579,noun.person,father
580,580,verb.stative,was
586,586,noun.attribute,descent
590,590,verb.perception,looked
593,593,noun.person,brothers
599,599,noun.body,hands
602,602,noun.body,arms
605,605,verb.cognition,wondered
611,611,verb.stative,have
613,613,noun.attribute,skin
617,617,noun.body,hair
620,621,noun.communication,last name
622,622,verb.stative,is
623,623,noun.person,Mendez
626,626,noun.act,Rules
627,627,verb.stative,are
628,628,noun.cognition,rules
631,631,verb.communication,said
633,633,noun.person,secretary
637,637,noun.person,Mendez
638,638,noun.person,children
641,642,verb.motion,go to
645,645,noun.group,school
653,653,verb.social,enrolling
661,661,verb.communication,said
662,663,noun.person,Aunt Soledad
667,667,verb.motion,stormed
671,671,noun.artifact,office
673,673,verb.possession,taking
674,674,noun.person,Sylvia
678,678,noun.person,children
684,684,verb.motion,arrived
687,688,noun.person,Aunt Soledad
689,689,verb.communication,told
690,690,noun.person,Sylvias
691,691,noun.person,father
694,694,verb.change,happened
696,697,noun.person,Mr. Mendez
698,698,verb.communication,told
702,702,verb.emotion,worry
707,707,verb.stative,be
709,709,noun.act,mistake
713,714,verb.social,take care
719,719,verb.stative,was
721,721,noun.person,businessman
728,729,verb.social,dealing with
730,730,noun.group,people
734,734,noun.time,day
736,737,noun.person,Mr. Mendez
738,738,verb.social,met
740,741,noun.person,Mr. Harris
744,744,noun.person,superintendent
747,748,noun.group,Westminster school
750,751,noun.person,Mr. Mendez
752,752,verb.communication,explained
755,755,noun.group,family
758,758,verb.motion,moved
762,762,noun.artifact,farm
766,767,noun.group,public school
769,770,noun.location,17th Street
771,771,verb.stative,is
774,774,noun.group,school
777,777,noun.artifact,house
781,781,noun.person,children
783,783,verb.stative,attend
789,789,noun.person,children
792,793,verb.motion,go to
796,796,noun.group,school
799,799,verb.communication,said
800,801,noun.person,Mr. Harris
809,809,verb.communication,asked
810,811,noun.person,Mr. Mendez
816,816,verb.communication,given
818,818,noun.communication,answer
824,824,verb.stative,is
828,828,verb.social,done
834,834,noun.time,days
836,837,noun.person,Mr. Mendez
838,838,verb.social,met
840,841,noun.person,Mr. Atkinson
844,844,noun.location,county
845,845,noun.person,superintendent
847,848,noun.person,Mr. Harris
856,857,noun.group,school board
860,860,verb.social,oversaw
864,864,noun.group,schools
866,867,noun.location,Orange County
872,872,verb.communication,said
875,875,noun.communication,thing
879,879,noun.person,children
882,883,verb.motion,go to
886,886,noun.artifact,school
894,895,noun.person,Mr. Mendez
896,896,verb.stative,kept
897,897,verb.communication,asking
902,902,verb.communication,give
906,906,noun.communication,answer
909,909,noun.time,fall
911,911,noun.person,Sylvia
914,914,noun.person,brothers
917,917,verb.stative,attend
918,919,noun.group,Hoover Elementary
927,927,noun.artifact,school
931,932,noun.location,Olive Street
935,935,noun.location,city
937,937,noun.location,Westminster
940,940,noun.artifact,building
941,941,verb.stative,was
943,943,noun.substance,clapboard
944,944,noun.artifact,shack
948,948,noun.artifact,halls
949,949,verb.stative,were
956,956,noun.animal,cow
957,957,noun.artifact,pasture
958,958,verb.stative,surrounded
960,960,noun.artifact,school
963,963,noun.person,students
966,966,verb.consumption,eat
968,968,noun.food,lunch
972,972,noun.animal,flies
974,974,verb.motion,land
977,977,noun.food,food
982,983,noun.artifact,electric wire
985,985,verb.stative,surrounded
987,987,noun.location,pasture
989,989,verb.stative,keep
991,991,noun.animal,cows
996,996,verb.contact,touched
1000,1000,verb.perception,received
1002,1002,noun.event,shock
1005,1005,noun.artifact,school
1008,1008,verb.stative,have
1010,1010,noun.artifact,playground
1015,1015,noun.artifact,swing
1018,1018,noun.person,Mendez
1019,1019,noun.group,family
1022,1023,verb.competition,give up
1030,1030,noun.person,Sylvia
1031,1031,verb.perception,heard
1033,1033,noun.person,father
1034,1034,verb.communication,talk
1036,1036,noun.person,coworkers
1038,1038,noun.person,friends
1042,1042,noun.person,parents
1051,1051,noun.person,kids
1054,1055,verb.stative,go to
1058,1058,noun.group,school
1062,1062,verb.communication,said
1070,1070,noun.artifact,building
1074,1074,noun.state,problem
1077,1077,noun.person,teachers
1080,1080,noun.group,school
1083,1083,verb.emotion,care
1086,1086,noun.person,children
1088,1088,noun.act,education
1091,1091,verb.cognition,expect
1094,1095,verb.social,drop out
1099,1099,noun.group,grade
1104,1104,noun.person,children
1105,1105,verb.social,succeed
1107,1107,verb.stative,become
1108,1108,noun.person,doctors
1110,1110,noun.person,lawyers
1113,1113,noun.person,teachers
1116,1117,noun.person,Mr. Mendez
1118,1118,verb.creation,created
1120,1120,noun.group,group
1123,1123,noun.person,Parents
1130,1130,noun.person,Children
1133,1133,verb.social,tried
1135,1135,verb.contact,collect
1136,1136,noun.communication,signatures
1139,1139,noun.communication,petition
1141,1141,verb.social,integrate
1142,1142,noun.group,schools
1146,1146,noun.person,children
1151,1151,noun.animal,skin
1152,1152,noun.attribute,color
1154,1154,noun.attribute,background
1157,1157,verb.possession,have
1160,1160,noun.state,opportunities
1164,1164,noun.event,time
1166,1166,verb.communication,asked
1169,1169,verb.communication,sign
1171,1171,noun.communication,petition
1175,1175,verb.possession,get
1178,1178,noun.communication,answer
1183,1183,noun.communication,problemas
1190,1190,verb.emotion,want
1192,1192,noun.state,problems
1198,1198,noun.person,parents
1199,1199,verb.social,worked
1201,1201,noun.artifact,farms
1202,1202,verb.possession,owned
1205,1205,noun.group,families
1207,1207,verb.emotion,feared
1210,1210,verb.possession,lose
1212,1212,noun.act,jobs
1215,1215,verb.social,supported
1217,1217,noun.communication,petition
1220,1220,noun.time,day
1223,1223,noun.artifact,truck
1224,1224,noun.person,driver
1225,1225,verb.perception,overheard
1226,1227,noun.person,Mr. Mendez
1228,1228,verb.social,trying
1230,1230,verb.communication,convince
1232,1232,noun.person,worker
1234,1234,verb.communication,sign
1236,1236,noun.communication,petition
1240,1240,verb.cognition,know
1243,1243,verb.communication,said
1245,1245,noun.artifact,truck
1246,1246,noun.person,driver
1251,1251,verb.communication,file
1253,1253,noun.communication,lawsuit
1257,1258,noun.person,truck driver
1259,1259,verb.communication,told
1260,1261,noun.person,Mr. Mendez
1264,1264,noun.person,lawyer
1265,1265,verb.communication,named
1266,1267,noun.person,David Marcus
1271,1271,verb.communication,filed
1273,1273,noun.act,lawsuit
1275,1275,noun.act,behalf
1277,1277,noun.group,people
1279,1280,noun.location,San Bernardino
1283,1283,verb.social,helped
1285,1285,verb.change,integrate
1288,1288,noun.artifact,pools
1293,1293,noun.time,time
1298,1298,noun.group,schools
1304,1304,noun.location,places
1310,1310,noun.artifact,pools
1312,1312,noun.artifact,parks
1315,1316,noun.artifact,movie theaters
1319,1319,noun.group,businesses
1321,1321,verb.possession,had
1322,1322,noun.communication,signs
1324,1324,verb.communication,read
1332,1333,noun.person,Mr. Mendez
1334,1334,verb.cognition,decided
1340,1340,verb.social,hire
1341,1342,noun.person,Mr. Marcus
1347,1347,verb.stative,meant
1350,1350,verb.possession,spend
1354,1354,noun.possession,savings
1369,1369,noun.time,months
1371,1372,noun.person,Mr. Mendez
1374,1375,noun.person,Mr. Marcus
1376,1376,verb.motion,traveled
1379,1380,noun.location,Orange County
1381,1382,verb.communication,looking for
1383,1383,noun.group,people
1386,1386,verb.perception,experienced
1388,1388,noun.state,problems
1390,1390,noun.person,Sylvia
1391,1391,verb.social,watched
1393,1393,noun.person,father
1394,1394,verb.motion,leave
1398,1398,noun.time,morning
1402,1402,verb.perception,saw
1404,1405,verb.motion,come home
1408,1408,noun.time,evening
1414,1414,verb.perception,heard
1416,1416,noun.communication,footsteps
1419,1420,verb.motion,got in
1423,1423,noun.time,night
1427,1427,verb.stative,was
1430,1430,noun.person,Sylvias
1431,1431,noun.person,mother
1434,1435,verb.social,take care
1438,1438,noun.artifact,farm
1440,1441,noun.person,Mrs. Mendez
1443,1443,verb.possession,get
1444,1444,noun.person,Sylvia
1447,1447,noun.person,brothers
1450,1450,noun.group,school
1456,1457,verb.motion,go out
1460,1460,noun.location,fields
1463,1463,verb.creation,started
1465,1466,noun.artifact,irrigation system
1468,1468,verb.contact,drove
1470,1470,noun.artifact,tractor
1472,1472,verb.social,oversaw
1474,1474,noun.person,workers
1477,1477,verb.cognition,solved
1479,1479,noun.state,problems
1481,1481,verb.change,arose
1485,1485,noun.act,help
1487,1488,noun.person,Mr. Marcus
1490,1491,noun.person,Mr. Mendez
1492,1492,verb.possession,found
1494,1494,verb.communication,talked
1497,1497,noun.group,families
1500,1501,verb.social,dealing with
1502,1502,noun.act,segregation
1507,1507,verb.stative,was
1509,1509,noun.person,Estrada
1510,1510,noun.group,family
1512,1513,noun.person,Mr. Estrada
1515,1515,verb.competition,fought
1523,1523,verb.social,risked
1525,1525,noun.time,life
1528,1528,noun.person,Americans
1531,1531,noun.group,races
1533,1533,noun.location,backgrounds
1538,1538,verb.motion,returned
1540,1540,noun.location,America
1543,1543,noun.act,war
1546,1547,verb.communication,found out
1550,1550,noun.person,children
1553,1553,verb.social,allowed
1555,1555,verb.stative,attend
1556,1556,noun.group,school
1559,1559,noun.person,children
1567,1567,verb.communication,said
1568,1569,noun.person,Mr. Mendez
1575,1575,noun.act,injustice
1578,1579,noun.person,Mr. Marcus
1580,1580,verb.emotion,wanted
1582,1582,verb.communication,show
1585,1585,noun.state,segregation
1587,1587,noun.person,students
1588,1588,verb.change,affected
1591,1591,noun.person,Sylvia
1594,1594,noun.person,brothers
1600,1600,noun.person,children
1603,1604,noun.group,public school
1605,1605,noun.communication,item
1608,1609,noun.location,Orange County
1612,1612,noun.time,March
1615,1616,noun.person,Mr. Marcus
1617,1618,verb.motion,went to
1620,1620,noun.artifact,courthouse
1622,1622,verb.communication,filed
1624,1624,noun.communication,lawsuit
1626,1626,noun.person,Estrada
1627,1627,noun.group,family
1628,1628,verb.social,joined
1630,1630,noun.person,Mendez
1631,1631,noun.act,case
1638,1638,noun.group,families
1641,1641,noun.group,families
1642,1642,verb.stative,were
1646,1646,noun.artifact,school
1647,1647,noun.location,districts
1649,1650,noun.location,Orange County
1652,1652,noun.location,Westminster
1655,1655,noun.person,Sylvia
1656,1656,verb.stative,lived
1659,1660,noun.location,Garden Grove
1662,1663,noun.location,El Modena
1666,1667,noun.location,Santa Ana
1670,1670,noun.act,trial
1672,1672,verb.creation,held
1675,1675,noun.artifact,courthouse
1677,1678,noun.location,Los Angeles
1680,1680,noun.person,Sylvia
1683,1683,noun.group,family
1684,1685,verb.body,dressed in
1688,1688,noun.artifact,clothes
1690,1690,verb.contact,sat
1693,1693,noun.artifact,courtroom
1695,1695,verb.perception,listen
1698,1698,noun.act,hearing
1699,1699,verb.stative,lasted
1701,1701,noun.time,days
1704,1704,noun.time,day
1706,1707,noun.person,Mr. Marcus
1708,1708,verb.communication,called
1711,1712,noun.person,stand parents
1716,1716,noun.location,districts
1718,1719,noun.location,Orange County
1723,1723,noun.person,superintendents
1726,1726,noun.location,district
1732,1732,noun.time,day
1734,1735,noun.person,Mr. Kent
1738,1738,noun.person,superintendent
1741,1742,noun.location,Garden Grove
1743,1743,noun.location,district
1745,1745,verb.communication,questioned
1748,1748,verb.communication,said
1751,1751,verb.motion,sent
1752,1752,noun.person,children
1756,1756,noun.group,school
1758,1758,verb.social,help
1760,1760,verb.change,improve
1762,1762,noun.communication,English
1765,1765,verb.stative,is
1767,1767,noun.communication,lie
1769,1769,verb.cognition,thought
1770,1770,noun.person,Sylvia
1773,1773,noun.communication,English
1774,1774,verb.stative,was
1779,1779,noun.communication,English
1784,1784,noun.person,children
1787,1787,noun.group,Westminster
1788,1788,noun.artifact,school
1793,1793,verb.communication,give
1795,1795,noun.person,children
1797,1797,noun.communication,tests
1800,1800,verb.communication,asked
1801,1802,noun.person,Mr. Marcus
1804,1805,noun.person,Mr. Kent
1806,1806,verb.communication,claimed
1815,1815,verb.communication,talking
1821,1821,verb.stative,is
1823,1823,noun.communication,lie
1825,1825,noun.person,Sylvia
1826,1826,verb.emotion,wanted
1828,1828,verb.communication,yell
1833,1833,verb.communication,questioned
1837,1837,verb.possession,rejected
1841,1842,noun.group,Westminster school
1844,1844,verb.communication,asking
